股票代號,股票名稱,持股股數_純數字,權重%,__NAV_VALUE
2330,台積電,1311000,5.7%,47808157575.0
2383,台光電,538000,4.61%,47808157575.0
8996,高力,1689000,4.27%,47808157575.0
6669,緯穎,465000,4.13%,47808157575.0
3105,穩懋,3433000,4.02%,47808157575.0
3665,貿聯-KY,667000,3.84%,47808157575.0
3037,欣興,2310000,3.52%,47808157575.0
6510,精測,422000,3.4%,47808157575.0
6515,穎崴,151000,3.39%,47808157575.0
3017,奇鋐,601000,3.37%,47808157575.0
6442,光聖,785000,3.32%,47808157575.0
2345,智邦,716000,3.12%,47808157575.0
6223,旺矽,289000,2.9%,47808157575.0
8299,群聯,711000,2.54%,47808157575.0
3533,嘉澤,468000,2.41%,47808157575.0
3081,聯亞,380000,2.4%,47808157575.0
3163,波若威,924000,2.24%,47808157575.0
3653,健策,197000,2.19%,47808157575.0
3443,創意,260000,2.13%,47808157575.0
6584,南俊國際,1337000,2.06%,47808157575.0
2360,致茂,487000,1.98%,47808157575.0
7769,鴻勁,194000,1.95%,47808157575.0
2059,川湖,258000,1.93%,47808157575.0
8046,南電,1108000,1.84%,47808157575.0
7751,竑騰,388000,1.78%,47808157575.0
2368,金像電,669000,1.77%,47808157575.0
2308,台達電,357000,1.48%,47808157575.0
5274,信驊,45000,1.47%,47808157575.0
4749,新應材,701000,1.46%,47808157575.0
3661,世芯-KY,173000,1.44%,47808157575.0
2408,南亞科,3280000,1.43%,47808157575.0
3529,力旺,155000,1.29%,47808157575.0
6274,台燿,636000,1.26%,47808157575.0
8358,金居,1548000,1.2%,47808157575.0
6805,富世達,298000,1.19%,47808157575.0
6531,愛普*,703000,1.15%,47808157575.0
3131,弘塑,154000,1.01%,47808157575.0
6271,同欣電,2589000,0.96%,47808157575.0
4991,環宇-KY,692000,0.92%,47808157575.0
8021,尖點,691920,0.68%,47808157575.0
3036,文曄,1177000,0.51%,47808157575.0
3189,景碩,486013,0.49%,47808157575.0
2454,聯發科,80000,0.37%,47808157575.0
3324,雙鴻,151000,0.35%,47808157575.0
2337,旺宏,1271000,0.33%,47808157575.0
5289,宜鼎,142000,0.33%,47808157575.0
3260,威剛,393000,0.33%,47808157575.0
3491,昇達科,97000,0.31%,47808157575.0
3711,日月光投控,320000,0.31%,47808157575.0
2486,一詮,567000,0.26%,47808157575.0
2344,華邦電,893000,0.16%,47808157575.0
